10000,0.0026768625,0.0000018618
20000,0.0057805422,0.0000010331
30000,0.0092785676,0.0000012572
40000,0.0129845990,0.0000015368
50000,0.0171110207,0.0000017458
60000,0.0210267390,0.0000015678
70000,0.0250380169,0.0000019720
80000,0.0291469421,0.0000020270
90000,0.0334282589,0.0000020879
100000,0.0376703875,0.0000020132
